objName,objGroup,transX,transY,transZ,scaleX,scaleY,scaleZ,rotateX,rotateY,rotateZ,light1,light2,light3,light4,shadow,shader1,shader2,shader3,shader4,misc1,misc2,misc3,misc4
pPlane46,5,-169.5755445,-25.90515997,121.3526502,0.162445375,0.162445375,0.162445375,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane28,17,-159,-25.16334341,118,0.3096539033,0.3096539033,0.3096539033,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane39,15,-158,-24.33026697,114.4604212,0.3458143242,0.3458143242,0.3458143242,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane36,11,-170.8479606,-24.68479233,117.5423804,0.2378875268,0.2378875268,0.2378875268,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane44,10,-174.4227038,-27.05973368,123.5917459,0.2244135939,0.2244135939,0.2244135939,90,0,18.96087881,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane47,3,-173.9696669,-25.21476413,120.6305762,0.180065709,0.180065709,0.180065709,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane53,17,-152.8049979,-25.87978932,119.8610422,0.3096539033,0.3096539033,0.3096539033,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane56,10,-176.4861047,-28.21144418,126.7464787,0.2244135939,0.2244135939,0.2244135939,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane62,15,-199.3663035,-24.24049425,117.1099695,0.3458143242,0.3458143242,0.3458143242,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane63,17,-195.12712,-25.16334341,120.203218,0.3096539033,0.3096539033,0.3096539033,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane65,17,-191.9177048,-22.44851012,111.0236369,0.3096539033,0.3096539033,0.3096539033,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane67,15,-192.7846007,-22.39812564,109.3767074,0.2981342823,0.2981342823,0.2981342823,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane50,2,-196.826015,-22.78736984,114.1396765,0.09838312646,0.09838312646,0.09838312646,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
pPlane51,2,-202.6586571,-25.46757417,123.8498746,0.09838312646,0.09838312646,0.09838312646,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
pPlane52,5,-152.643964,-26.43715981,121.3526502,0.2408482731,0.2408482731,0.2408482731,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane54,8,-165.4740346,-27.99320867,127.4686592,1.150261134,1.150261134,1.150261134,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane55,7,-175.2550237,-28.31537978,128.981649,0.2310500033,0.2310500033,0.2310500033,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane57,12,-172.540194,-29.08088947,130.7383017,0.2935803614,0.2935803614,0.2935803614,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane58,13,-169.8488918,-28.77518385,129.6927086,0.3719867626,0.3719867626,0.3719867626,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane59,14,-167.1600796,-27.74145568,125.8184986,0.3535796355,0.3535796355,0.3535796355,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane60,7,-189.0426615,-24.66662844,119,0.2835027355,0.2835027355,0.2835027355,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane61,6,-193.4175791,-23.95649994,116.6623156,0.2726168641,0.2726168641,0.2726168641,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane64,7,-200.5274477,-24.44150543,119,0.2835027355,0.2835027355,0.2835027355,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane66,15,-193.0915419,-22.43010106,111.1709758,0.3458143242,0.3458143242,0.3458143242,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface17,21,-171.8373011,-20.78994375,101.8649219,0.2493270104,0.2493270104,0.2493270104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface18,21,-1.470076535,-20.78994375,101.8649219,0.2493270104,0.2493270104,0.2493270104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface19,21,94.29452872,-20.78994375,101.8649219,0.2493270104,0.2493270104,0.2493270104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface20,21,42.91124637,-30.61193969,121.3833053,0.2493270104,0.2493270104,0.2493270104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface21,21,47.96119923,-30.61193969,115.5528637,0.2154007194,0.2154007194,0.2154007194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface22,21,40.47432618,-19.56154278,90.08669017,0.2154007194,0.2154007194,0.2154007194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface23,21,91.6364228,-19.56154278,93.70538346,0.2154007194,0.2154007194,0.2154007194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface24,21,70.29759382,-14.49528985,60.05334297,0.1913752284,0.1913752284,0.1913752284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface25,21,20.10469135,-18.51653779,84.17094166,0.2154007194,0.2154007194,0.2154007194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface29,21,13.33194849,-30.45897637,118.2752573,0.2493270104,0.2493270104,0.2493270104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface30,21,238.414708,-21.04693214,108.0007888,0.2075464855,0.2075464855,0.2075464855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface40,21,270.2612942,-25.24222457,109.2410299,0.1605617404,0.1605617404,0.1605617404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface41,21,274.6203887,-24.52668245,101.3498537,0.1605617404,0.1605617404,0.1605617404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface42,21,319.6840247,-20.69508674,83.84217951,0.1605617404,0.1605617404,0.1605617404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface44,21,236.1619998,-21.92510685,120.4029633,0.1673731141,0.1673731141,0.1673731141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface45,21,442.6365934,-21.04693214,108.0007888,0.2075464855,0.2075464855,0.2075464855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface48,21,473.6571387,-17.74919061,109.3512295,0.2075464855,0.2075464855,0.2075464855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface49,21,483.5089768,-25.07321586,122.9258371,0.2075464855,0.2075464855,0.2075464855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface50,21,548.1775709,-24.31851062,120.072722,0.2075464855,0.2075464855,0.2075464855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface51,21,534.9109233,-27.05859161,121.0864395,0.2075464855,0.2075464855,0.2075464855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface1,21,-1.111560093,-1.868127651,-13.6237248,0.1163338429,0.1163338429,0.1163338429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface2,24,0.1234361053,-1.823595308,-13.68525507,0.0325772933,0.0325772933,0.0325772933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface1,22,5.693490056,-1.682081474,-15.83053686,0.04296180687,0.04296180687,0.04296180687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface7,26,-0.1847530172,-1.650309334,-14.51844188,0.03271475074,0.03271475074,0.03271475074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group|pasted__planarTrimmedSurface2,23,1.137875708,-2.035303508,-13.56730216,0.04829781169,0.04829781169,0.04829781169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface27,23,6.607879725,-2.170408769,-13.56730216,0.04829781169,0.04829781169,0.04829781169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface28,23,-6.084459071,-1.794952576,-14.13406123,0.03808080588,0.03808080588,0.03808080588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface42,23,0.7570913261,-1.819576355,-14.15563208,0.04333979088,0.04333979088,0.04333979088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface45,23,-4.906223565,-2.113719952,-12.04073373,0.04829781169,0.04829781169,0.04829781169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface75,23,6.092505242,-2.104570206,-10.93203396,0.04829781169,0.04829781169,0.04829781169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface118,23,26.64162552,-2.250863973,-13.23844178,0.03771554842,0.03771554842,0.03771554842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface132,23,25.19479831,-3.143305606,-10.65217934,0.03771554842,0.03771554842,0.03771554842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface143,23,57.23710696,-1.511971427,-16.22264509,0.02488255541,0.02488255541,0.02488255541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface184,23,65.39524546,-2.369540949,-14.91366771,0.03771554842,0.03771554842,0.03771554842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface185,23,64.81903363,-2.014317129,-17.45861462,0.02886720896,0.02886720896,0.02886720896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface201,23,58.37392565,-1.361573461,-17.24580927,0.02488255541,0.02488255541,0.02488255541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface219,23,79.9088775,-2.369540949,-12.48560418,0.03771554842,0.03771554842,0.03771554842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface255,23,81.98995391,-1.894160536,-14.27615914,0.03771554842,0.03771554842,0.03771554842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface256,23,82.92231195,-1.821851296,-11.36618158,0.03236034768,0.03236034768,0.03236034768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface272,23,86.05620426,-1.673891862,-14.569188,0.02972271643,0.02972271643,0.02972271643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface273,23,92.97313202,-2.025682646,-13.95956948,0.02972271643,0.02972271643,0.02972271643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface282,23,83.16760325,-1.401880466,-14.569188,0.02972271643,0.02972271643,0.02972271643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface20,25,1.350555396,-1.191569338,-15.70066304,0.03196052683,0.03196052683,0.03196052683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface21,25,-4.077105083,-0.9738617956,-16.89130753,0.03196052683,0.03196052683,0.03196052683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface36,25,-5.474310767,-1.903390178,-12.65382052,0.03995467557,0.03995467557,0.03995467557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface46,25,-0.6575390079,-1.234961269,-15.47554761,0.03196052683,0.03196052683,0.03196052683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface48,25,-2.960961944,-0.889962827,-16.89130753,0.02750291429,0.02750291429,0.02750291429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface52,25,4.50931892,-1.738566722,-11.27107477,0.0416801806,0.0416801806,0.0416801806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface53,25,5.323889926,-1.9288957,-10.37173325,0.04054659297,0.04054659297,0.04054659297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface57,25,3.498678155,-1.377519769,-13.64795265,0.0416801806,0.0416801806,0.0416801806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface60,25,-6.276772118,-1.422886501,-15.47554761,0.03196052683,0.03196052683,0.03196052683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface62,25,-3.325308264,-0.5433369891,-17.97600919,0.03196052683,0.03196052683,0.03196052683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface70,25,-4.107834669,-1.680571503,-13.90919132,0.03033648648,0.03033648648,0.03033648648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface77,25,5.876622586,-1.960598661,-14.13047773,0.0416801806,0.0416801806,0.0416801806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface95,25,25.88777739,-2.218355326,-12.94863425,0.0416801806,0.0416801806,0.0416801806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface96,25,33.63658873,-1.926295122,-14.87735625,0.0416801806,0.0416801806,0.0416801806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface97,25,35.04399748,-1.716435935,-14.31094394,0.03468378075,0.03468378075,0.03468378075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface98,25,35.04399748,-2.354186318,-11.87630138,0.03468378075,0.03468378075,0.03468378075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface106,25,32.2515481,-1.452438293,-16.61313434,0.03438661005,0.03438661005,0.03438661005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface130,25,26.24924312,-2.560436351,-11.34155292,0.0416801806,0.0416801806,0.0416801806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface144,25,57.31374388,-1.975070393,-13.96764586,0.03468378075,0.03468378075,0.03468378075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface168,25,55.13380204,-1.215641878,-14.88829951,0.02680631371,0.02680631371,0.02680631371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface173,25,64.17700603,-2.247403842,-13.96764586,0.03468378075,0.03468378075,0.03468378075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface221,25,78.26550612,-2.247403842,-11.68534446,0.03468378075,0.03468378075,0.03468378075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface265,25,86.43558127,-1.767358812,-14.08346024,0.03468378075,0.03468378075,0.03468378075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface266,25,84.656516,-1.332489047,-15.97037953,0.03468378075,0.03468378075,0.03468378075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface267,25,91.19761431,-1.488272558,-15.35977775,0.03468378075,0.03468378075,0.03468378075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface277,25,91.38243172,-2.446222771,-12.61813248,0.03468378075,0.03468378075,0.03468378075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface286,25,79.99396869,-2.175837759,-14.02445891,0.03468378075,0.03468378075,0.03468378075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface4,27,1.031375259,-2.424806922,-11.37143995,0.05348094474,0.05348094474,0.05348094474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface8,27,-2.378590988,-2.424806922,-11.0389448,0.05348094474,0.05348094474,0.05348094474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface9,27,-3.131456111,-2.311957188,-11.57059235,0.04700019384,0.04700019384,0.04700019384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface10,27,-4.456193563,-1.994075198,-12.87793361,0.04236045184,0.04236045184,0.04236045184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface11,27,-4.157589135,-1.538336892,-14.7234386,0.04236045184,0.04236045184,0.04236045184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface12,27,2.119713919,-1.304288879,-14.7234386,0.03661687616,0.03661687616,0.03661687616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface31,27,-1.499201719,-1.538336892,-14.92135994,0.03521103505,0.03521103505,0.03521103505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface34,27,0.1158876801,-1.188365218,-15.78182358,0.02781472696,0.02781472696,0.02781472696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface37,27,-3.721154332,-2.125360978,-12.13668678,0.03389078555,0.03389078555,0.03389078555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface41,27,5.606484788,-1.908120607,-12.57252808,0.03207867709,0.03207867709,0.03207867709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface44,27,-6.716278618,-1.526624301,-16.27305708,0.03337176549,0.03337176549,0.03337176549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface47,27,1.170914814,-1.113646609,-16.83318856,0.02781472696,0.02781472696,0.02781472696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface54,27,5.458549641,-1.861448514,-11.58338717,0.03207867709,0.03207867709,0.03207867709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface58,27,1.388553511,-1.380632655,-14.94032508,0.02781472696,0.02781472696,0.02781472696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface65,27,-5.823406454,-1.465662089,-15.3546914,0.04236045184,0.04236045184,0.04236045184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface69,27,-5.391444633,-1.889559886,-13.52642836,0.03228462078,0.03228462078,0.03228462078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface71,27,-3.685215937,-2.505774504,-10.28586339,0.03471849064,0.03471849064,0.03471849064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface72,27,3.292252195,-1.329658013,-15.50891672,0.02781472696,0.02781472696,0.02781472696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface73,27,6.271619436,-2.093936567,-10.16957619,0.03207867709,0.03207867709,0.03207867709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface76,27,4.798464933,-1.465502791,-16.51372938,0.03661687616,0.03661687616,0.03661687616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface87,27,25.57545045,-2.466112674,-11.58338717,0.03207867709,0.03207867709,0.03207867709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface88,27,34.21516881,-2.482600536,-11.91731291,0.03742701835,0.03742701835,0.03742701835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface89,27,32.94971495,-1.82959631,-15.12185668,0.03742701835,0.03742701835,0.03742701835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface90,27,28.90897618,-1.888828208,-14.32796917,0.03742701835,0.03742701835,0.03742701835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface91,27,26.13355207,-1.13177043,-16.87508339,0.03117262646,0.03117262646,0.03117262646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface92,27,32.41991757,-1.38063313,-16.87508339,0.03175532982,0.03175532982,0.03175532982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface93,27,30.00579056,-1.550050372,-17.27575263,0.03523860654,0.03523860654,0.03523860654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface94,27,26.87232208,-2.13366419,-13.69686214,0.03523860654,0.03523860654,0.03523860654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface99,27,28.90897618,-1.408222177,-17.36214809,0.03020644709,0.03020644709,0.03020644709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface103,27,22.94827055,-1.550050372,-17.34512085,0.03523860654,0.03523860654,0.03523860654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface107,27,33.50547149,-2.538460412,-12.56447483,0.03128080039,0.03128080039,0.03128080039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface110,27,26.93936431,-2.300129723,-12.7518301,0.03523860654,0.03523860654,0.03523860654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface116,27,27.72365098,-1.310372988,-16.75988462,0.03117262646,0.03117262646,0.03117262646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface117,27,28.90897618,-3.12010319,-12.54371693,0.03742701835,0.03742701835,0.03742701835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface119,27,33.90264457,-1.275546219,-16.87508339,0.03175532982,0.03175532982,0.03175532982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface122,27,34.18175135,-2.106851114,-13.4197291,0.02961222051,0.02961222051,0.02961222051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface123,27,29.58401831,-1.248460743,-17.85366361,0.03117262646,0.03117262646,0.03117262646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface124,27,24.93353724,-1.99956954,-13.69686214,0.028913731,0.028913731,0.028913731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface127,27,23.95087061,-2.4522783,-11.49523372,0.03523860654,0.03523860654,0.03523860654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface129,27,24.84581462,-2.659321373,-11.13047259,0.03523860654,0.03523860654,0.03523860654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface133,27,26.93936431,-3.326712655,-10.32294598,0.03523860654,0.03523860654,0.03523860654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasted__planarTrimmedSurface136,27,23.78008027,-3.186149624,-9.74451432,0.03523860654,0.03523860654,0.03523860654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
